,date,city_1,country_1,city_2,country_2,working,source,lat_x,lng_x,same,duration_days,min_date,max_date,lat_y,lng_y,returns
39,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
40,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
41,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
42,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
43,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
44,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
45,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
46,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
47,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
48,1950-01-07,Paris,France,,,y,,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
49,1950-01-07,Paris,France,,,y,,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
50,1950-01-07,Paris,France,,,y,,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
51,1950-01-07,Paris,France,,,y,,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
52,1950-01-07,Paris,France,,,y,,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
53,1950-01-07,Paris,France,,,y,,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
54,1950-01-07,Paris,France,,,y,,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
55,1950-01-07,Paris,France,,,y,,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
56,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
57,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
58,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
59,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
60,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
61,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
62,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
63,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
64,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
65,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
66,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
67,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
68,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
69,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
70,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
71,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
72,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
73,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
74,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
75,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
76,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
77,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
78,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
79,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
80,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
81,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
82,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
83,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
84,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
85,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
86,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
87,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
88,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
89,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
90,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
91,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
92,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
93,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
94,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
95,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
96,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
97,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
98,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
