fid,Date,City 1,Country 1,City 2,Country 2,Working,Source,"City, Country","City, Country:1",lat:1,lng
1442,5 Nov 1953,,,,,,,", ",,,
1443,6 Nov 1953,,,,,,,", ",,,
1444,7 Nov 1953,,,,,,,", ",,,
1445,8 Nov 1953,,,,,,,", ",,,
1446,9 Nov 1953,,,,,,,", ",,,
1447,10 Nov 1953,Beverly Hills,USA,,,n,SIU Box 16 folder 9,"Beverly Hills, USA",,,
1448,11 Nov 1953,,,,,,,", ",,,
1449,12 Nov 1953,,,,,,,", ",,,
1450,13 Nov 1953,,,,,,,", ",,,
1451,14 Nov 1953,,,,,,,", ",,,
1452,15 Nov 1953,,,,,,,", ",,,
1453,16 Nov 1953,,,,,,,", ",,,
1454,17 Nov 1953,,,,,,,", ",,,
1455,18 Nov 1953,,,,,,,", ",,,
1456,19 Nov 1953,New York,USA,Paris,France,n,SIU Box 39 folder 5,"New York, USA",,,
1457,20 Nov 1953,Paris,France,Rome,Italy,n,SIU Box 39 folder 5,"Paris, France","Paris, France",48.859116,2.331839
1458,21 Nov 1953,,,,,,,", ",,,
1459,22 Nov 1953,,,,,,,", ",,,
1460,23 Nov 1953,Rome,Italy,,,,SIU Box 39 folder 5,"Rome, Italy","Rome, Italy",41.878243,12.52809
1461,24 Nov 1953,Rome,Italy,,,,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1462,25 Nov 1953,Rome,Italy,,,y,SIU Box 16 folder 9,"Rome, Italy","Rome, Italy",41.878243,12.52809
1463,26 Nov 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1464,27 Nov 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1465,28 Nov 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1466,29 Nov 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1467,30 Nov 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1468,1 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1469,2 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1470,3 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1471,4 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1472,5 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1473,6 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1474,7 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1475,8 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1476,9 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1477,10 Dec 1953,Rome,Italy,,,y,SIU Box 39 folder 5,"Rome, Italy","Rome, Italy",41.878243,12.52809
1478,11 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1479,12 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1480,13 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1481,14 Dec 1953,Rome,Italy,,,y,SIU Box 16 folder 9,"Rome, Italy","Rome, Italy",41.878243,12.52809
1482,15 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1483,16 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1484,17 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1485,18 Dec 1953,Rome,Italy,,,y,SIU Box 16 folder 9,"Rome, Italy","Rome, Italy",41.878243,12.52809
1486,19 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1487,20 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1488,21 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1489,22 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1490,23 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1491,24 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1492,25 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1493,26 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1494,27 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1495,28 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1496,29 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1497,30 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
1498,31 Dec 1953,Rome,Italy,,,y,,"Rome, Italy","Rome, Italy",41.878243,12.52809
